country,unscaled_score,final_score,distance_to_30_years,gdp_ppp,gini,gender_equality_score,happiness,homicide_rate,incarceration_rate,life_expectancy,numbeo_climate_index,numbeo_health_care_index,numbeo_purchasing_power_index,numbeo_pollution_index,numbeo_property_price_to_income_ratio,numbeo_safety_index,numbeo_traffic_commute_time_index,press_freedom,suicide_rate,unesco_objects
Luxembourg,311.4454026132316,97.47934006359922,-26.165617058888515,49.99999999999999,-16.95324712235327,35.416666666666664,71.48115114406993,-0.03610108303249091,-8.81287726358149,91.24423963133643,31.31744040150565,68.36363636363636,60.000000000000014,-5.064599483204136,-7.294832826747721,49.93902439024388,-4.144578313253016,-57.20398836726214,-21.48837209302325,0.847457627118644
Netherlands,305.9142266162682,96.32190063149274,-36.067837807977014,26.013844412620347,-3.8084410970584015,42.916666666666664,74.06947108346614,-0.6377858002406738,-3.7424547283702223,88.47926267281107,33.57590966122961,73.09090909090911,40.387096774193544,-5.064599483204136,-5.227963525835866,58.582317073170714,-1.831325301204818,-62.07035036698517,-23.767441860465116,11.016949152542372
Iceland,323.4911419841057,100.0,-19.98397967075461,24.65339259728183,-3.986073610913743,70.0,75.94087184191208,-1.2394705174488565,-0.24144869215291742,90.78341013824884,24.39146800501882,51.636363636363626,42.88172043010752,-1.9638242894056845,-3.0395136778115504,59.542682926829244,-0.09638554216867323,-58.3769561002631,-29.95348837209302,2.5423728813559325
Denmark,300.41792196281085,95.17175828558393,-33.26151806430229,26.65460931243905,-6.472928804888445,44.166666666666664,76.78048583643023,-1.4400320898515844,-4.225352112676057,86.17511520737327,31.267252195734006,71.45454545454545,40.387096774193544,-5.11627906976744,-4.498480243161095,58.582317073170714,-6.650602409638555,-64.47444952222683,-18.232558139534884,9.322033898305085
Finland,287.3067584865392,92.42815048562198,-35.554082421831836,20.76230060986169,-5.762398749467101,63.54166666666667,80.0,-2.6434015242679503,-2.052313883299799,87.55760368663594,19.4228356336261,70.18181818181817,37.80645161290322,-0.0,-6.322188449848025,58.582317073170714,-4.048192771084338,-62.9815814984074,-37.11627906976744,5.932203389830509
Oman,247.51702084935403,84.10185398742101,-0.9612197547232322,12.743850057272304,-30.63095068921416,10.833333333333325,63.426457719426814,-0.03610108303249091,-1.4486921529175054,52.073732718894036,23.588456712672524,40.545454545454554,43.09677419354838,-13.643410852713178,-0.0,66.37195121951218,-0.09638554216867323,-14.443982827863174,-8.139534883720929,4.23728813559322
Switzerland,291.34149287175734,93.2724484573537,-35.346922991934576,32.34819208503231,-16.42034958078727,50.41666666666667,71.66148933015218,-0.6377858002406738,-4.7082494969818915,95.85253456221201,29.611041405269766,61.636363636363626,47.09677419354838,-5.271317829457363,-9.726443768996962,59.64939024390243,-10.891566265060245,-59.54992383326408,-25.3953488372093,11.016949152542372
Norway,298.29830584259497,94.7282129563785,-26.46116451220859,29.49696014672087,-6.8281938325991165,61.04166666666668,72.77604769146768,-0.4372242278379461,-2.1730382293762576,92.16589861751152,25.69636135508156,67.27272727272727,36.774193548387096,-3.4108527131782953,-5.714285714285714,51.85975609756097,-4.819277108433738,-70.0,-25.72093023255814,6.779661016949152
Austria,269.9691516789891,88.80012820095175,-36.534637056678804,24.354995390300093,-10.55847662356118,46.04166666666667,69.55062680911986,-1.4400320898515844,-7.72635814889336,87.55760368663594,28.908406524466752,68.90909090909089,32.258064516129025,-5.064599483204136,-9.6048632218845,55.38109756097559,-2.2168674698795203,-52.66722060656417,-27.348837209302324,10.16949152542373
Estonia,200.87766688753973,74.3422246801974,-33.60954590652966,15.047654210975669,-12.157169248259198,36.87500000000001,60.05912886294695,-3.6462093862815883,-11.830985915492958,75.11520737327193,22.132998745294856,68.36363636363636,25.634408602150536,-2.428940568475452,-8.632218844984804,61.24999999999998,-0.0,-60.43207312006646,-32.558139534883715,1.694915254237288
